date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:40:18	1165/1165	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20May%202020%2007:10:52%20GMT	https://cosmos-themes.online/robots.txt		(from )
08:40:20	63669/63669	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Nov%202021%2007:40:20%20GMT	https://cosmos-themes.online/themes/watson/	D:/6%20CVs/temp/mud/cosmos-themes.online/themes/watson/index.html	(from )
08:40:22	934/934	---M-Z	200	added ('OK')	text/css	etag:%223a6-60ab9eaf-5fd8be299eaeeea0;gz%22	https://cosmos-themes.online/themes/watson/wp-content/cache/autoptimize/css/autoptimize_single_abbd157da11d1a9995ac4e63d0f025a5.css?ver=1637100101	D:/6%20CVs/temp/mud/cosmos-themes.online/themes/watson/wp-content/cache/autoptimize/css/autoptimize_single_abbd157da11d1a9995ac4e63d0f025a5eec4.css	(from https://cosmos-themes.online/themes/watson/)
08:40:22	656577/656577	---M-Z	200	added ('OK')	text/css	etag:%22a04c1-61942a46-b877d7782fbfe52d;gz%22	https://cosmos-themes.online/themes/watson/wp-content/cache/autoptimize/css/autoptimize_d5b3a6fc8c98c7e52d9e1230f2e36634.css	D:/6%20CVs/temp/mud/cosmos-themes.online/themes/watson/wp-content/cache/autoptimize/css/autoptimize_d5b3a6fc8c98c7e52d9e1230f2e36634.css	(from https://cosmos-themes.online/themes/watson/)
08:40:23	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-60f73a7c-4134acac57be889f;gz%22	https://cosmos-themes.online/themes/watson/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	D:/6%20CVs/temp/mud/cosmos-themes.online/themes/watson/wp-includes/js/jquery/jquery.minaf6c.js	(from https://cosmos-themes.online/themes/watson/)
08:40:24	4394/4394	---M-Z	200	added ('OK')	application/json	date:Tue,%2023%20Nov%202021%2007:40:24%20GMT	https://cosmos-themes.online/themes/watson/wp-json/wp/v2/pages/43	D:/6%20CVs/temp/mud/cosmos-themes.online/themes/watson/wp-json/wp/v2/pages/43.json	(from https://cosmos-themes.online/themes/watson/)
08:40:24	62884/62884	---MCZ	200	added ('OK')	application/rss+xml	etag:%22edf404b5f5d906c32543761552daa19d%22	https://cosmos-themes.online/themes/watson/feed/	D:/6%20CVs/temp/mud/cosmos-themes.online/themes/watson/feed/index.html	(from https://cosmos-themes.online/themes/watson/)
08:40:24	120768/120768	---MCZ	200	added ('OK')	application/json	date:Tue,%2023%20Nov%202021%2007:40:25%20GMT	https://cosmos-themes.online/themes/watson/wp-json/	D:/6%20CVs/temp/mud/cosmos-themes.online/themes/watson/wp-json/index.html	(from https://cosmos-themes.online/themes/watson/)
08:40:24	5189/5189	---M-Z	200	added ('OK')	application/rss+xml	etag:%2257ef6a8da558a8824e5e9cc480841424%22	https://cosmos-themes.online/themes/watson/comments/feed/	D:/6%20CVs/temp/mud/cosmos-themes.online/themes/watson/comments/feed/index.html	(from https://cosmos-themes.online/themes/watson/)
08:40:24	918/918	---M-Z	200	added ('OK')	text/xml	date:Tue,%2023%20Nov%202021%2007:40:25%20GMT	https://cosmos-themes.online/themes/watson/xmlrpc.php?rsd	D:/6%20CVs/temp/mud/cosmos-themes.online/themes/watson/xmlrpc0db0.php	(from https://cosmos-themes.online/themes/watson/)
